energy(eV)  elastic (x1e-16)  ionization (x1e-16)  others (x1e-16)
     1.000  27.66786   0.00000   0.32238
     1.054  27.12463   0.00000   0.40101
     1.111  26.59207   0.00000   0.49072
     1.171  26.06996   0.00000   0.58466
     1.235  25.55810   0.00000   0.68081
     1.301  25.05629   0.00000   0.89441
     1.372  24.56434   0.00000   1.64304
     1.446  24.08204   0.00000   3.29499
     1.524  23.60921   0.00000   5.12480
     1.607  23.14567   0.00000   6.11119
     1.694  22.69123   0.00000   6.83267
     1.786  22.24571   0.00000   7.90597
     1.882  21.80893   0.00000   7.75198
     1.984  21.38074   0.00000   6.98502
     2.091  20.96095   0.00000   6.64253
     2.205  20.54940   0.00000   5.77022
     2.324  20.14593   0.00000   5.35071
     2.450  19.75039   0.00003   4.58715
     2.582  19.36261   0.36944   3.17979
     2.722  18.98244   0.05047   2.42264
     2.869  18.60974   0.20373   1.87879
     3.024  18.24436   0.03418   1.39217
     3.188  17.88615   0.01975   1.06301
     3.361  17.53497   0.01141   0.88084
     3.542  17.19069   0.00659   0.74990
     3.734  16.85317   0.00381   0.64059
     3.936  16.52227   0.00220   0.54689
     4.149  16.19787   0.00127   0.46951
     4.374  15.87985   0.00073   0.40745
     4.610  15.56806   0.00042   0.35685
     4.860  15.26240   0.00025   0.31354
     5.123  14.83235   0.00014   0.27268
     5.400  14.26739   0.00008   0.23197
     5.692  13.72395   0.00005   0.19309
     6.000  13.20121   0.38656   0.15917
     6.325  12.69838   0.47560   0.13321
     6.667  12.21470   0.59011   0.11428
     7.028  11.74945   0.78174   0.09971
     7.408  11.30192   1.03224   0.08695
     7.809  11.24317   1.31331   0.09165
     8.232  11.29973   1.57174   0.12856
     8.677  11.35657   1.77061   0.18210
     9.147  11.41369   1.87429   0.24062
     9.642  11.47110   1.89441   0.30058
    10.164  11.47428   1.85036   0.35528
    10.714  11.42288   1.76924   0.41209
    11.293  11.37170   1.67714   0.49260
    11.904  11.32076   1.55701   0.58520
    12.549  11.27004   1.45708   0.66659
    13.228  11.21955   1.45453   0.74257
    13.943  11.16929   1.43679   0.80599
    14.698  11.11925   1.37295   0.89761
    15.493  10.90733   1.29757   0.99078
    16.332  10.60071   1.22417   1.07765
    17.216  10.30271   1.27323   1.17174
