energy(eV)  elastic (x1e-16)  ionization (x1e-16)  others (x1e-16)
     1.000   5.15199   0.00000   0.48578
     1.054   5.20595   0.00000   0.48866
     1.111   5.26477   0.00000   0.49160
     1.171   5.34261   0.00000   0.49474
     1.235   5.42159   0.00000   0.49789
     1.301   5.50232   0.00000   0.50108
     1.372   5.61100   0.00000   0.50474
     1.446   5.72183   0.00000   0.50843
     1.524   5.82541   0.00000   0.51215
     1.607   5.90916   0.00000   0.51593
     1.694   5.99411   0.00000   0.51974
     1.786   6.13056   0.00000   0.52439
     1.882   6.27394   0.00000   0.52914
     1.984   6.44893   0.00000   0.53387
     2.091   6.63517   0.00000   0.54516
     2.205   6.78232   0.00000   0.56007
     2.324   6.91227   0.00000   0.58483
     2.450   6.97542   0.00000   0.60853
     2.582   7.08329   0.00000   0.63494
     2.722   7.22775   0.00000   0.66280
     2.869   7.41200   0.00000   0.68996
     3.024   7.66851   0.00000   0.71388
     3.188   7.82236   0.00000   0.74218
     3.361   7.86542   0.00000   0.77080
     3.542   7.91081   0.00000   0.79010
     3.734   7.95869   0.00000   0.81627
     3.936   8.00000   0.00000   0.83546
     4.149   7.98746   0.00000   0.85688
     4.374   7.96493   0.00000   0.88020
     4.610   7.96769   0.00000   0.90077
     4.860   7.95000   0.00000   0.91481
     5.123   7.91127   0.00000   0.25882
     5.400   7.87448   0.00000   0.26487
     5.692   7.84553   0.00000   0.26664
     6.000   7.78874   0.00000   0.26799
     6.325   7.72442   0.00000   0.26930
     6.667   7.65594   0.00000   0.27067
     7.028   7.48628   0.00000   0.26586
     7.408   7.33745   0.00000   0.26232
     7.809   7.26389   0.00000   0.26176
     8.232   7.22176   0.00000   0.25335
     8.677   7.17707   0.00000   0.25300
     9.147   7.13805   0.00000   0.24632
     9.642   7.11423   0.00000   0.25254
    10.164   7.10439   0.00000   0.26650
    10.714   7.10000   0.00000   0.29974
    11.293   7.10000   0.00000   0.33592
    11.904   7.09585   0.00000   0.37167
    12.549   7.09000   0.00000   0.40530
    13.228   7.09000   0.00000   0.41975
    13.943   7.09000   0.00000   0.45499
    14.698   7.09406   0.00000   0.47476
    15.493   7.10987   0.00000   0.59411
    16.332   7.10164   0.00208   0.67335
    17.216   7.06389   0.01747   0.73776
    18.147   7.00418   0.04920   0.77707
    19.129   6.94182   0.10487   0.80978
    20.164   6.85214   0.16019   0.82741
    21.255   6.73567   0.22775   0.83536
    22.406   6.61309   0.29897   0.84397
    23.618   6.48246   0.37070   0.85230
    24.896   6.35032   0.45279   0.86189
    26.243   6.18827   0.50996   0.84900
    27.664   6.02764   0.57035   0.83541
    29.161   5.87118   0.63791   0.82391
    30.739   5.71878   0.71346   0.81502
    32.402   5.57034   0.79796   0.80784
    34.155   5.42575   0.89247   0.80266
    36.004   5.20372   0.96447   0.79110
    37.952   4.92445   1.01180   0.77413
    40.006   4.66016   1.06145   0.75960
    42.170   4.41006   1.11354   0.74582
    44.452   4.17338   1.16819   0.73308
    46.858   3.94940   1.22552   0.72054
    49.393   3.73744   1.28566   0.70975
    52.066   3.59485   1.32258   0.69320
    54.884   3.47468   1.35256   0.67542
    57.854   3.35854   1.38322   0.65882
    60.985   3.24627   1.41457   0.64320
    64.285   3.13776   1.44664   0.62798
    67.763   3.03288   1.47943   0.61305
    71.430   2.93099   1.50000   0.59763
    75.296   2.83172   1.50000   0.58132
    79.370   2.73582   1.50000   0.56554
    83.665   2.64316   1.50000   0.54978
    88.192   2.55365   1.50000   0.53477
    92.965   2.46744   1.48839   0.51737
    97.996   2.38430   1.46969   0.49750
   103.298   2.30397   1.45123   0.47868
   108.888   2.22634   1.43301   0.46082
   114.781   2.15133   1.41501   0.44385
   120.992   2.07873   1.39703   0.42783
   127.539   2.00797   1.37820   0.41303
   134.441   1.93962   1.35961   0.39901
   141.716   1.87360   1.34128   0.38573
   149.385   1.80983   1.32319   0.37313
   157.468   1.74823   1.30535   0.36117
   165.990   1.68921   1.28601   0.34821
   174.972   1.63239   1.26622   0.33517
   184.440   1.57748   1.24673   0.32273
   194.421   1.52441   1.22754   0.31085
   204.942   1.47314   1.20864   0.29949
   216.032   1.42336   1.18829   0.28778
   227.722   1.37509   1.16681   0.27589
   240.045   1.32845   1.14571   0.26455
   253.035   1.28339   1.12499   0.25373
   266.727   1.23986   1.10465   0.24341
   281.161   1.19820   1.06608   0.23414
   296.376   1.15806   1.02351   0.22544
   312.414   1.11927   0.98264   0.21711
   329.319   1.08177   0.94340   0.20914
   347.140   1.04553   0.90573   0.20150
   365.925   1.01091   0.87748   0.19394
   385.727   0.97750   0.85154   0.18666
   406.600   0.94519   0.82637   0.17967
   428.602   0.91396   0.80194   0.17298
   451.795   0.88369   0.77803   0.16654
   476.244   0.85375   0.75248   0.16022
   502.015   0.82481   0.72776   0.15417
   529.181   0.79686   0.70385   0.14836
   557.817   0.76985   0.68073   0.14279
   588.002   0.74376   0.65837   0.13745
   619.821   0.71868   0.63653   0.13226
   653.362   0.69452   0.61527   0.12725
   688.718   0.67117   0.59472   0.12244
   725.987   0.64860   0.57486   0.11782
   765.273   0.62679   0.55567   0.11339
   806.684   0.60571   0.53712   0.10913
   850.337   0.58529   0.51922   0.10501
   896.352   0.56555   0.50192   0.10105
   944.857   0.54648   0.48519   0.09725
   995.986   0.52806   0.46902   0.09360
  1049.883   0.51025   0.45339   0.09009
  1106.696   0.49115   0.43828   0.08671
  1166.583   0.45892   0.42358   0.08337
  1229.711   0.42881   0.40938   0.08017
  1296.255   0.40067   0.39566   0.07710
  1366.400   0.37438   0.38240   0.07415
  1440.341   0.34981   0.36958   0.07132
  1518.283   0.32804   0.35676   0.06858
  1600.443   0.31138   0.34299   0.06592
  1687.049   0.29556   0.32975   0.06337
  1778.341   0.28055   0.31702   0.06091
  1874.573   0.26630   0.30478   0.05856
  1976.013   0.25277   0.29302   0.05629
  2082.943   0.23993   0.28171   0.05412
  2195.658   0.22775   0.27083   0.05217
  2314.473   0.21619   0.26038   0.05032
  2439.718   0.20522   0.25032   0.04853
  2571.740   0.19481   0.24066   0.04682
  2710.906   0.18492   0.23137   0.04516
  2857.603   0.17554   0.22243   0.04357
  3012.238   0.16650   0.21387   0.04196
  3175.241   0.15788   0.20564   0.04039
  3347.065   0.14971   0.19772   0.03887
  3528.187   0.14196   0.19012   0.03742
  3719.110   0.13461   0.18280   0.03602
  3920.365   0.12764   0.17577   0.03467
  4132.510   0.12106   0.16891   0.03337
  4356.135   0.11496   0.16182   0.03205
  4591.861   0.10916   0.15502   0.03078
  4840.344   0.10366   0.14851   0.02957
  5102.272   0.09844   0.14227   0.02840
  5378.375   0.09348   0.13630   0.02728
  5669.418   0.08877   0.13057   0.02621
  5976.211   0.08427   0.12549   0.02524
  6299.605   0.07999   0.12065   0.02431
  6640.500   0.07593   0.11599   0.02342
  6999.841   0.07208   0.11152   0.02255
  7378.628   0.06842   0.10721   0.02173
  7777.913   0.06495   0.10308   0.02093
  8198.804   0.06166   0.09910   0.02016
  8642.471   0.05853   0.09528   0.01943
  9110.146   0.05556   0.09160   0.01872
  9603.129   0.05274   0.08807   0.01804
 10122.789   0.05006   0.08467   0.01738
 10670.570   0.04752   0.08141   0.01675
 11247.994   0.04511   0.07827   0.01614
 11856.663   0.04283   0.07510   0.01553
 12498.271   0.04066   0.07204   0.01495
 13174.597   0.03861   0.06911   0.01438
 13887.523   0.03666   0.06629   0.01384
 14639.027   0.03481   0.06360   0.01332
 15431.198   0.03305   0.06101   0.01282
 16266.236   0.03138   0.05851   0.01234
 17146.461   0.02979   0.05607   0.01189
 18074.318   0.02829   0.05373   0.01146
 19052.386   0.02686   0.05148   0.01104
 20083.379   0.02550   0.04933   0.01064
 21170.164   0.02421   0.04727   0.01025
 22315.758   0.02299   0.04530   0.00988
 23523.345   0.02183   0.04345   0.00951
 24796.279   0.02073   0.04168   0.00916
 26138.095   0.01969   0.03998   0.00882
 27552.523   0.01870   0.03835   0.00849
 29043.490   0.01776   0.03679   0.00818
 30615.138   0.01686   0.03529   0.00788
 32271.835   0.01602   0.03386   0.00759
 34018.181   0.01524   0.03246   0.00731
 35859.028   0.01449   0.03112   0.00704
 37799.491   0.01378   0.02984   0.00679
 39844.958   0.01311   0.02860   0.00654
 42001.114   0.01247   0.02742   0.00630
 44273.947   0.01186   0.02629   0.00607
 46669.771   0.01127   0.02513   0.00585
 49195.241   0.01072   0.02399   0.00565
 51857.375   0.01019   0.02290   0.00545
 54663.565   0.00969   0.02186   0.00526
 57621.610   0.00921   0.02087   0.00508
 60739.724   0.00876   0.01992   0.00490
 64026.571   0.00833   0.01902   0.00473
 67491.281   0.00793   0.01832   0.00456
 71143.480   0.00755   0.01766   0.00439
 74993.312   0.00719   0.01701   0.00423
 79051.472   0.00685   0.01639   0.00407
 83329.235   0.00652   0.01580   0.00392
 87838.482   0.00621   0.01522   0.00378
 92591.742   0.00590   0.01467   0.00364
 97602.217   0.00561   0.01414   0.00351
102883.827   0.00534   0.01362   0.00338
108451.245   0.00508   0.01312   0.00325
114319.936   0.00484   0.01265   0.00313
120506.203   0.00460   0.01219   0.00302
127027.231   0.00438   0.01174   0.00291
133901.136   0.00417   0.01132   0.00280
141147.013   0.00396   0.01090   0.00270
148784.990   0.00377   0.01051   0.00260
156836.286   0.00359   0.01012   0.00250
165323.267   0.00341   0.00976   0.00241
174269.510   0.00325   0.00940   0.00233
183699.866   0.00309   0.00906   0.00224
193640.533   0.00294   0.00873   0.00216
204119.125   0.00280   0.00841   0.00208
215164.753   0.00266   0.00811   0.00200
226808.099   0.00253   0.00781   0.00193
239081.509   0.00241   0.00753   0.00186
252019.078   0.00229   0.00725   0.00179
265656.745   0.00218   0.00699   0.00173
280032.397   0.00208   0.00673   0.00166
295185.967   0.00198   0.00649   0.00160
311159.551   0.00188   0.00625   0.00155
327997.525   0.00179   0.00603   0.00149
345746.662   0.00170   0.00581   0.00144
364456.270   0.00162   0.00559   0.00138
384178.322   0.00154   0.00539   0.00133
404967.607   0.00147   0.00519   0.00129
426881.875   0.00139   0.00501   0.00124
449982.003   0.00133   0.00482   0.00119
474332.164   0.00126   0.00465   0.00115
500000.000   0.00120   0.00448   0.00111
