# Mars exosphere neutral density profile used by mars_exosphere.m
# Source MAT file: F:\data\maven\data\sci\supporting_data\H_O_corona_density_profile.mat
# Density unit: cm^-3. Altitude unit: km.
# Columns: alt_H_km nH_cm^-3 alt_O_km nO_cm^-3
9.715082130531e+04 1.088481585612e+00 8.579330350544e+04 1.088481585612e+00
9.406353253859e+04 1.192443195479e+00 8.294384903035e+04 1.174451077763e+00
9.080192475395e+04 1.306334248773e+00 7.852260544496e+04 1.306334248773e+00
8.778480393759e+04 1.431103113329e+00 7.512169122679e+04 1.431103113329e+00
8.480439749040e+04 1.567788736231e+00 7.186807494217e+04 1.567788736231e+00
8.192517965664e+04 1.717529295102e+00 6.875537692969e+04 1.717529295102e+00
7.920301087448e+04 1.881571675674e+00 6.577749383919e+04 1.881571675674e+00
7.651396728539e+04 2.061281854577e+00 6.288147471162e+04 2.061281854577e+00
7.397159955405e+04 2.258156273790e+00 6.020306929393e+04 2.258156273790e+00
7.146016907484e+04 2.473834301473e+00 5.755247818689e+04 2.473834301473e+00
6.903400487472e+04 2.710111882945e+00 5.505980693321e+04 2.710111882945e+00
6.669021205437e+04 2.968956495472e+00 5.267509645158e+04 2.968956495472e+00
6.442599400004e+04 3.252523531399e+00 5.035594322809e+04 3.252523531399e+00
6.223864904657e+04 3.563174246050e+00 4.821105664944e+04 3.563174246050e+00
6.017061443024e+04 3.903495419832e+00 4.608844397346e+04 3.903495419832e+00
5.812774505952e+04 4.276320898295e+00 4.405928464377e+04 4.276320898295e+00
5.615423371854e+04 4.684755189486e+00 4.211946414244e+04 4.684755189486e+00
5.424772561344e+04 5.132199315110e+00 4.032540633024e+04 5.132199315110e+00
5.240594589859e+04 5.622379130744e+00 3.854997918573e+04 5.622379130744e+00
5.066462741113e+04 6.159376350946e+00 3.685271967380e+04 6.159376350946e+00
4.894449846617e+04 6.747662537580e+00 3.523018626839e+04 6.747662537580e+00
4.728277010044e+04 7.392136334397e+00 3.367908896525e+04 7.392136334397e+00
4.567745953953e+04 8.098164257917e+00 3.219628261083e+04 8.098164257917e+00
4.412665132676e+04 8.871625384268e+00 3.077876052484e+04 8.871625384268e+00
4.262849503765e+04 9.718960304102e+00 2.942364840366e+04 9.718960304102e+00
4.121205678376e+04 1.064722475322e+01 2.812819849204e+04 1.064722475322e+01
3.978304852095e+04 1.166414836552e+01 2.688978401161e+04 1.166414836552e+01
3.843236310636e+04 1.277819903743e+01 2.568664892652e+04 1.277819903743e+01
3.712753519031e+04 1.399865343986e+01 2.453734595969e+04 1.399865343986e+01
3.584015575076e+04 1.533567426485e+01 2.345702776737e+04 1.533567426485e+01
3.462333659213e+04 1.680039484997e+01 2.240748519437e+04 1.680039484997e+01
3.347288972829e+04 1.840501188537e+01 2.140490251857e+04 1.840501188537e+01
